# Every fact this catalog acts on, and which inputs decided it. See docs/FACTS.md.
# GENERATED by cmd/gen-gcp. Do not hand-edit.
# A source prefixed ! said the opposite and was overruled.
#
# type	path	fact	value	sources
gcp.accesspolicy		clear_before_delete	none	default
gcp.accesspolicy		create_await	longrunning	discovery
gcp.accesspolicy		create_url	accessPolicies	mm
gcp.accesspolicy		create_verb	POST	discovery
gcp.accesspolicy		delete_await	longrunning	discovery
gcp.accesspolicy		delete_url	accessPolicies/{{name}}	mm
gcp.accesspolicy		lock_field	none	default
gcp.accesspolicy		patch_one_field	false	default
gcp.accesspolicy		setters	none	default
gcp.accesspolicy		timeout	1200	default
gcp.accesspolicy		update_await	longrunning	discovery
gcp.accesspolicy		update_mask	query	mm
gcp.accesspolicy		update_verb	PATCH	mm
gcp.accesspolicy	etag	output	true	discovery
gcp.accesspolicy	name	output	true	discovery+mm
gcp.accesspolicy	parent	immutable	true	mm
gcp.accesspolicy	parent	required	true	mm
gcp.accesspolicy	scopes	immutable	true	mm
gcp.accesspolicy	title	required	true	mm
gcp.aclpolicy		clear_before_delete	none	default
gcp.aclpolicy		create_await	none	discovery
gcp.aclpolicy		create_url	projects/{{project}}/locations/{{location}}/aclPolicies?aclPolicyId={{aclPolicyId}}	discovery
gcp.aclpolicy		create_verb	POST	discovery
gcp.aclpolicy		delete_await	longrunning	discovery
gcp.aclpolicy		delete_url	{+name}	discovery
gcp.aclpolicy		lock_field	none	default
gcp.aclpolicy		patch_one_field	false	default
gcp.aclpolicy		setters	none	default
gcp.aclpolicy		timeout	1200	default
gcp.aclpolicy		update_await	longrunning	discovery
gcp.aclpolicy		update_mask	query	discovery
gcp.aclpolicy		update_verb	PATCH	discovery
gcp.aclpolicy	aclPolicyId	immutable	true	discovery
gcp.aclpolicy	aclPolicyId	required	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].aclPolicyRevisionStatuses	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].aclPolicyRevisionStatuses[].aclPolicyRevision	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].aclPolicyRevisionStatuses[].aclPolicyRevisionNumber	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].aclPolicyRevisionStatuses[].errorMessage	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].aclPolicyRevisionStatuses[].state	output	true	discovery
gcp.aclpolicy	clusterAclPolicyAttachments[].cluster	output	true	discovery
gcp.aclpolicy	createTime	output	true	discovery
gcp.aclpolicy	etag	output	true	discovery
gcp.aclpolicy	name	output	true	discovery
gcp.aclpolicy	state	output	true	discovery
gcp.aclpolicy	updateTime	output	true	discovery
gcp.aclpolicy	version	output	true	discovery
gcp.address		clear_before_delete	none	default
gcp.address		create_await	compute_operation	discovery
gcp.address		create_url	projects/{{project}}/regions/{{region}}/addresses	mm
gcp.address		create_verb	POST	discovery
gcp.address		delete_await	compute_operation	discovery
gcp.address		delete_url	projects/{project}/regions/{region}/addresses/{address}	discovery
gcp.address		lock_field	none	default
gcp.address		patch_one_field	false	default
gcp.address		setters	labels=setLabels	observed+mm+discovery
gcp.address		timeout	600	default
gcp.address		update_await	none	default
gcp.address		update_mask	none	default
gcp.address		update_verb	none	default
gcp.address	address	immutable	true	discovery
gcp.address	addressType	immutable	true	discovery
gcp.address	creationTimestamp	output	true	discovery+mm
gcp.address	description	immutable	true	discovery
gcp.address	id	output	true	discovery+mm
gcp.address	ipCollection	immutable	true	discovery
gcp.address	ipVersion	immutable	true	discovery
gcp.address	ipv6EndpointType	immutable	true	discovery
gcp.address	kind	output	true	discovery
gcp.address	labelFingerprint	output	true	mm
gcp.address	name	immutable	true	discovery
gcp.address	name	required	true	mm
gcp.address	network	equivalence	self_link	mm
gcp.address	network	immutable	true	discovery
gcp.address	networkTier	immutable	true	discovery
gcp.address	prefixLength	immutable	true	discovery
gcp.address	purpose	immutable	true	discovery
gcp.address	region	equivalence	self_link	mm
gcp.address	region	output	true	discovery
gcp.address	selfLink	output	true	discovery
gcp.address	status	output	true	discovery
gcp.address	subnetwork	equivalence	self_link	mm
gcp.address	subnetwork	immutable	true	discovery
gcp.address	users	output	true	discovery+mm
gcp.agentconnectivitytemplate		clear_before_delete	none	default
gcp.agentconnectivitytemplate		create_await	longrunning	discovery
gcp.agentconnectivitytemplate		create_url	projects/{{project}}/locations/{{location}}/agentConnectivityTemplates?agentConnectivityTemplateId={{agent_connectivity_template_id}}	mm
gcp.agentconnectivitytemplate		create_verb	POST	discovery
gcp.agentconnectivitytemplate		delete_await	longrunning	discovery
gcp.agentconnectivitytemplate		delete_url	projects/{{project}}/locations/{{location}}/agentConnectivityTemplates/{{agent_connectivity_template_id}}	mm
gcp.agentconnectivitytemplate		lock_field	none	default
gcp.agentconnectivitytemplate		patch_one_field	false	default
gcp.agentconnectivitytemplate		setters	none	default
gcp.agentconnectivitytemplate		timeout	1200	default
gcp.agentconnectivitytemplate		update_await	longrunning	discovery
gcp.agentconnectivitytemplate		update_mask	query	mm
gcp.agentconnectivitytemplate		update_verb	PATCH	mm
gcp.agentconnectivitytemplate	accessPath	immutable	true	discovery+mm
gcp.agentconnectivitytemplate	accessPath	required	true	mm
gcp.agentconnectivitytemplate	agent_connectivity_template_id	immutable	true	mm
gcp.agentconnectivitytemplate	agent_connectivity_template_id	required	true	mm
gcp.agentconnectivitytemplate	createTime	output	true	discovery+mm
gcp.agentconnectivitytemplate	egressNetworkConfig.dnsPeeringConfig.domain	required	true	mm
gcp.agentconnectivitytemplate	egressNetworkConfig.dnsPeeringConfig.targetNetwork	equivalence	self_link	mm
gcp.agentconnectivitytemplate	egressNetworkConfig.dnsPeeringConfig.targetNetwork	required	true	mm
gcp.agentconnectivitytemplate	egressNetworkConfig.networkAttachment	equivalence	self_link	mm
gcp.agentconnectivitytemplate	egressNetworkConfig.networkAttachment	immutable	true	mm
gcp.agentconnectivitytemplate	name	output	true	mm
gcp.agentconnectivitytemplate	updateTime	output	true	discovery+mm
gcp.agentgateway		clear_before_delete	none	default
gcp.agentgateway		create_await	longrunning	discovery
gcp.agentgateway		create_url	projects/{{project}}/locations/{{location}}/agentGateways?agentGatewayId={{name}}	mm
gcp.agentgateway		create_verb	POST	discovery
gcp.agentgateway		delete_await	longrunning	discovery
gcp.agentgateway		delete_url	projects/{{project}}/locations/{{location}}/agentGateways/{{name}}	mm
gcp.agentgateway		lock_field	none	default
gcp.agentgateway		patch_one_field	false	default
gcp.agentgateway		setters	none	default
gcp.agentgateway		timeout	1200	default
gcp.agentgateway		update_await	longrunning	discovery
gcp.agentgateway		update_mask	query	mm
gcp.agentgateway		update_verb	PATCH	mm
gcp.agentgateway	agentGatewayCard	output	true	discovery+mm
gcp.agentgateway	agentGatewayCard.mtlsEndpoint	output	true	discovery+mm
gcp.agentgateway	agentGatewayCard.rootCertificates	output	true	discovery+mm
gcp.agentgateway	agentGatewayCard.serviceExtensionsServiceAccount	output	true	discovery+mm
gcp.agentgateway	createTime	output	true	discovery+mm
gcp.agentgateway	googleManaged	immutable	true	mm
gcp.agentgateway	googleManaged.governedAccessPath	immutable	true	mm
gcp.agentgateway	googleManaged.governedAccessPath	required	true	mm
gcp.agentgateway	name	input_only	true	mm
gcp.agentgateway	name	required	true	mm
gcp.agentgateway	networkConfig.dnsPeeringConfig.domains	required	true	mm
gcp.agentgateway	networkConfig.dnsPeeringConfig.targetNetwork	equivalence	self_link	mm
gcp.agentgateway	networkConfig.dnsPeeringConfig.targetNetwork	required	true	mm
gcp.agentgateway	networkConfig.dnsPeeringConfig.targetProject	required	true	mm
gcp.agentgateway	networkConfig.egress	required	true	mm
gcp.agentgateway	networkConfig.egress.networkAttachment	immutable	true	mm
gcp.agentgateway	networkConfig.egress.networkAttachment	required	true	mm
gcp.agentgateway	selfManaged	immutable	true	mm
gcp.agentgateway	selfManaged.resourceUri	immutable	true	mm
gcp.agentgateway	selfManaged.resourceUri	required	true	mm
gcp.agentgateway	updateTime	output	true	discovery+mm
gcp.alertpolicy		clear_before_delete	none	default
gcp.alertpolicy		create_await	none	discovery
gcp.alertpolicy		create_url	projects/{{project}}/alertPolicies	mm
gcp.alertpolicy		create_verb	POST	discovery
gcp.alertpolicy		delete_await	none	discovery
gcp.alertpolicy		delete_url	{+name}	discovery
gcp.alertpolicy		lock_field	none	default
gcp.alertpolicy		patch_one_field	false	default
gcp.alertpolicy		setters	none	default
gcp.alertpolicy		timeout	60	default
gcp.alertpolicy		update_await	none	discovery
gcp.alertpolicy		update_mask	query	mm
gcp.alertpolicy		update_verb	PATCH	mm
gcp.alertpolicy	combiner	required	true	mm
gcp.alertpolicy	conditions	required	true	mm
gcp.alertpolicy	conditions[].conditionAbsent.duration	required	true	mm
gcp.alertpolicy	conditions[].conditionMatchedLog.filter	required	true	mm
gcp.alertpolicy	conditions[].conditionMonitoringQueryLanguage.duration	required	true	mm
gcp.alertpolicy	conditions[].conditionMonitoringQueryLanguage.query	required	true	mm
gcp.alertpolicy	conditions[].conditionPrometheusQueryLanguage.query	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.booleanTest.column	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.daily.periodicity	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.hourly.periodicity	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.minutes.periodicity	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.query	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.rowCountTest.comparison	required	true	mm
gcp.alertpolicy	conditions[].conditionSql.rowCountTest.threshold	required	true	mm
gcp.alertpolicy	conditions[].conditionThreshold.comparison	required	true	mm
gcp.alertpolicy	conditions[].conditionThreshold.duration	required	true	mm
gcp.alertpolicy	conditions[].conditionThreshold.forecastOptions.forecastHorizon	required	true	mm
gcp.alertpolicy	conditions[].displayName	required	true	mm
gcp.alertpolicy	conditions[].name	output	true	mm
gcp.alertpolicy	creationRecord	output	true	mm
gcp.alertpolicy	creationRecord.mutateTime	output	true	mm
gcp.alertpolicy	creationRecord.mutatedBy	output	true	mm
gcp.alertpolicy	displayName	required	true	mm
gcp.alertpolicy	name	output	true	mm
gcp.appprofile		clear_before_delete	none	default
gcp.appprofile		create_await	none	discovery
gcp.appprofile		create_url	{+parent}/appProfiles?appProfileId={{appProfileId}}	discovery
gcp.appprofile		create_verb	POST	discovery
gcp.appprofile		delete_await	none	discovery
gcp.appprofile		delete_url	{+name}	discovery
gcp.appprofile		lock_field	none	default
gcp.appprofile		patch_one_field	false	default
gcp.appprofile		setters	none	default
gcp.appprofile		timeout	1200	default
gcp.appprofile		update_await	longrunning	discovery
gcp.appprofile		update_mask	query	discovery
gcp.appprofile		update_verb	PATCH	discovery
gcp.appprofile	appProfileId	immutable	true	discovery
gcp.appprofile	appProfileId	required	true	discovery
gcp.appprofile	name	output	true	discovery
gcp.artifactregistry.repository		clear_before_delete	none	default
gcp.artifactregistry.repository		create_await	longrunning	discovery
gcp.artifactregistry.repository		create_url	projects/{{project}}/locations/{{location}}/repositories?repository_id={{repository_id}}	mm
gcp.artifactregistry.repository		create_verb	POST	discovery
gcp.artifactregistry.repository		delete_await	longrunning	discovery
gcp.artifactregistry.repository		delete_url	projects/{{project}}/locations/{{location}}/repositories/{{repository_id}}	mm
gcp.artifactregistry.repository		lock_field	none	default
gcp.artifactregistry.repository		patch_one_field	false	default
gcp.artifactregistry.repository		setters	none	default
gcp.artifactregistry.repository		timeout	1200	default
gcp.artifactregistry.repository		update_await	none	observed+discovery
gcp.artifactregistry.repository		update_mask	query	mm
gcp.artifactregistry.repository		update_verb	PATCH	mm
gcp.artifactregistry.repository	createTime	output	true	discovery+mm
gcp.artifactregistry.repository	format	equivalence	case	mm
gcp.artifactregistry.repository	format	immutable	true	mm
gcp.artifactregistry.repository	format	required	true	mm
gcp.artifactregistry.repository	kmsKeyName	immutable	true	mm
gcp.artifactregistry.repository	mavenConfig.allowSnapshotOverwrites	immutable	true	mm
gcp.artifactregistry.repository	mavenConfig.versionPolicy	immutable	true	mm
gcp.artifactregistry.repository	mode	immutable	true	mm
gcp.artifactregistry.repository	name	output	true	mm
gcp.artifactregistry.repository	registryUri	output	true	discovery+mm
gcp.artifactregistry.repository	remoteRepositoryConfig	immutable	false	!mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository.publicRepository.repositoryBase	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository.publicRepository.repositoryBase	required	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository.publicRepository.repositoryPath	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.aptRepository.publicRepository.repositoryPath	required	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.commonRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.commonRepository.uri	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.commonRepository.uri	required	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.description	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.disableUpstreamValidation	immutable	false	!ruling+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.disableUpstreamValidation	input_only	true	discovery
gcp.artifactregistry.repository	remoteRepositoryConfig.disableUpstreamValidation	send_with_update	true	ruling+observed
gcp.artifactregistry.repository	remoteRepositoryConfig.dockerRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.dockerRepository.customRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.dockerRepository.customRepository.uri	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.dockerRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.mavenRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.mavenRepository.customRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.mavenRepository.customRepository.uri	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.mavenRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.noCache	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.npmRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.npmRepository.customRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.npmRepository.customRepository.uri	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.npmRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.pythonRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.pythonRepository.customRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.pythonRepository.customRepository.uri	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.pythonRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.upstreamCredentials	immutable	false	observed
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository	immutable	true	mm+ruling
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository.publicRepository	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository.publicRepository.repositoryBase	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository.publicRepository.repositoryBase	required	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository.publicRepository.repositoryPath	immutable	true	mm
gcp.artifactregistry.repository	remoteRepositoryConfig.yumRepository.publicRepository.repositoryPath	required	true	mm
gcp.artifactregistry.repository	repository_id	immutable	true	mm
gcp.artifactregistry.repository	repository_id	required	true	mm
gcp.artifactregistry.repository	satisfiesPzi	output	true	discovery
gcp.artifactregistry.repository	satisfiesPzs	output	true	discovery
gcp.artifactregistry.repository	sizeBytes	output	true	discovery
gcp.artifactregistry.repository	updateTime	output	true	discovery+mm
gcp.artifactregistry.repository	vulnerabilityScanningConfig.enablementState	output	true	discovery+mm
gcp.artifactregistry.repository	vulnerabilityScanningConfig.enablementStateReason	output	true	discovery+mm
gcp.artifactregistry.repository	vulnerabilityScanningConfig.lastEnableTime	output	true	discovery
gcp.artifactregistry.rule		clear_before_delete	none	default
gcp.artifactregistry.rule		create_await	none	discovery
gcp.artifactregistry.rule		create_url	projects/{{project}}/locations/{{location}}/repositories/{{repository_id}}/rules?ruleId={{rule_id}}	mm
gcp.artifactregistry.rule		create_verb	POST	discovery
gcp.artifactregistry.rule		delete_await	none	discovery
gcp.artifactregistry.rule		delete_url	projects/{{project}}/locations/{{location}}/repositories/{{repository_id}}/rules/{{rule_id}}	mm
gcp.artifactregistry.rule		lock_field	none	default
gcp.artifactregistry.rule		patch_one_field	false	default
gcp.artifactregistry.rule		setters	none	default
gcp.artifactregistry.rule		timeout	60	default
gcp.artifactregistry.rule		update_await	none	discovery
gcp.artifactregistry.rule		update_mask	query	mm
gcp.artifactregistry.rule		update_verb	PATCH	mm
gcp.artifactregistry.rule	condition.expression	required	true	mm
gcp.artifactregistry.rule	name	output	true	mm
gcp.artifactregistry.rule	repository_id	immutable	true	mm
gcp.artifactregistry.rule	repository_id	required	true	mm
gcp.artifactregistry.rule	rule_id	immutable	true	mm
gcp.artifactregistry.rule	rule_id	required	true	mm
gcp.attachment		clear_before_delete	none	default
gcp.attachment		create_await	longrunning	discovery
gcp.attachment		create_url	{+parent}/attachments?attachmentId={{attachmentId}}	discovery
gcp.attachment		create_verb	POST	discovery
gcp.attachment		delete_await	longrunning	discovery
gcp.attachment		delete_url	{+name}	discovery
gcp.attachment		lock_field	none	default
gcp.attachment		patch_one_field	false	default
gcp.attachment		setters	none	default
gcp.attachment		timeout	1200	default
gcp.attachment		update_await	none	default
gcp.attachment		update_mask	none	default
gcp.attachment		update_verb	none	default
gcp.attachment	attachmentId	immutable	true	discovery
gcp.attachment	attachmentId	required	true	discovery
gcp.attachment	createTime	output	true	discovery
gcp.attachment	name	output	true	discovery
gcp.attachment	ociVersionName	output	true	discovery
gcp.attachment	updateTime	output	true	discovery
gcp.attestor		clear_before_delete	none	default
gcp.attestor		create_await	none	discovery
gcp.attestor		create_url	projects/{{project}}/attestors?attestorId={{name}}	mm
gcp.attestor		create_verb	POST	discovery
gcp.attestor		delete_await	none	discovery
gcp.attestor		delete_url	projects/{{project}}/attestors/{{name}}	mm
gcp.attestor		lock_field	none	default
gcp.attestor		patch_one_field	false	default
gcp.attestor		setters	none	default
gcp.attestor		timeout	60	default
gcp.attestor		update_await	none	default
gcp.attestor		update_mask	none	default
gcp.attestor		update_verb	none	default
gcp.attestor	name	immutable	true	mm
gcp.attestor	name	required	true	mm
gcp.attestor	updateTime	output	true	discovery
gcp.attestor	userOwnedGrafeasNote	required	true	mm
gcp.attestor	userOwnedGrafeasNote.delegationServiceAccountEmail	output	true	discovery+mm
gcp.attestor	userOwnedGrafeasNote.noteReference	equivalence	self_link	mm
gcp.attestor	userOwnedGrafeasNote.noteReference	immutable	true	mm
gcp.attestor	userOwnedGrafeasNote.noteReference	required	true	mm
gcp.authorizedview		clear_before_delete	none	default
gcp.authorizedview		create_await	longrunning	discovery
gcp.authorizedview		create_url	{+parent}/authorizedViews?authorizedViewId={{authorizedViewId}}	discovery
gcp.authorizedview		create_verb	POST	discovery
gcp.authorizedview		delete_await	none	discovery
gcp.authorizedview		delete_url	{+name}	discovery
gcp.authorizedview		lock_field	none	default
gcp.authorizedview		patch_one_field	false	default
gcp.authorizedview		setters	none	default
gcp.authorizedview		timeout	1200	default
gcp.authorizedview		update_await	longrunning	discovery
gcp.authorizedview		update_mask	query	discovery
gcp.authorizedview		update_verb	PATCH	discovery
gcp.authorizedview	authorizedViewId	immutable	true	discovery
gcp.authorizedview	authorizedViewId	required	true	discovery
gcp.authorizedview	name	output	true	discovery
gcp.authzextension		clear_before_delete	none	default
gcp.authzextension		create_await	longrunning	discovery
gcp.authzextension		create_url	projects/{{project}}/locations/{{location}}/authzExtensions?authzExtensionId={{name}}	mm
gcp.authzextension		create_verb	POST	discovery
gcp.authzextension		delete_await	longrunning	discovery
gcp.authzextension		delete_url	projects/{{project}}/locations/{{location}}/authzExtensions/{{name}}	mm
gcp.authzextension		lock_field	none	default
gcp.authzextension		patch_one_field	false	default
gcp.authzextension		setters	none	default
gcp.authzextension		timeout	1200	default
gcp.authzextension		update_await	longrunning	discovery
gcp.authzextension		update_mask	query	mm
gcp.authzextension		update_verb	PATCH	mm
gcp.authzextension	createTime	output	true	discovery+mm
gcp.authzextension	name	required	true	mm
gcp.authzextension	service	equivalence	self_link	mm
gcp.authzextension	service	required	true	mm
gcp.authzextension	timeout	equivalence	duration	mm
gcp.authzextension	timeout	required	true	mm
gcp.authzextension	updateTime	output	true	discovery+mm
gcp.authzpolicy		clear_before_delete	none	default
gcp.authzpolicy		create_await	longrunning	discovery
gcp.authzpolicy		create_url	projects/{{project}}/locations/{{location}}/authzPolicies?authzPolicyId={{name}}	mm
gcp.authzpolicy		create_verb	POST	discovery
gcp.authzpolicy		delete_await	longrunning	discovery
gcp.authzpolicy		delete_url	projects/{{project}}/locations/{{location}}/authzPolicies/{{name}}	mm
gcp.authzpolicy		lock_field	none	default
gcp.authzpolicy		patch_one_field	false	default
gcp.authzpolicy		setters	none	default
gcp.authzpolicy		timeout	1200	default
gcp.authzpolicy		update_await	longrunning	discovery
gcp.authzpolicy		update_mask	query	mm
gcp.authzpolicy		update_verb	PATCH	mm
gcp.authzpolicy	action	required	true	mm
gcp.authzpolicy	createTime	output	true	discovery+mm
gcp.authzpolicy	customProvider.authzExtension.resources	required	true	mm
gcp.authzpolicy	httpRules[].from.notSources[].ipBlocks[].length	required	true	mm
gcp.authzpolicy	httpRules[].from.notSources[].ipBlocks[].prefix	required	true	mm
gcp.authzpolicy	httpRules[].from.sources[].ipBlocks[].length	required	true	mm
gcp.authzpolicy	httpRules[].from.sources[].ipBlocks[].prefix	required	true	mm
gcp.authzpolicy	httpRules[].to.operations[].mcp.methods[].name	required	true	mm
gcp.authzpolicy	name	required	true	mm
gcp.authzpolicy	networkRules[].from.notSources[].ipBlocks[].length	required	true	mm
gcp.authzpolicy	networkRules[].from.notSources[].ipBlocks[].prefix	required	true	mm
gcp.authzpolicy	networkRules[].from.sources[].ipBlocks[].length	required	true	mm
gcp.authzpolicy	networkRules[].from.sources[].ipBlocks[].prefix	required	true	mm
gcp.authzpolicy	policyProfile	immutable	true	discovery+mm
gcp.authzpolicy	target	required	true	mm
gcp.authzpolicy	updateTime	output	true	discovery+mm
gcp.automation		clear_before_delete	none	default
gcp.automation		create_await	longrunning	discovery
gcp.automation		create_url	projects/{{project}}/locations/{{location}}/deliveryPipelines/{{delivery_pipeline}}/automations?automationId={{automationId}}	mm
gcp.automation		create_verb	POST	discovery
gcp.automation		delete_await	longrunning	discovery
gcp.automation		delete_url	projects/{{project}}/locations/{{location}}/deliveryPipelines/{{delivery_pipeline}}/automations/{{name}}	mm
gcp.automation		lock_field	none	default
gcp.automation		patch_one_field	false	default
gcp.automation		setters	none	default
gcp.automation		timeout	1200	default
gcp.automation		update_await	longrunning	discovery
gcp.automation		update_mask	query	mm
gcp.automation		update_verb	PATCH	mm
gcp.automation	automationId	immutable	true	discovery
gcp.automation	createTime	output	true	discovery+mm
gcp.automation	delivery_pipeline	immutable	true	mm
gcp.automation	delivery_pipeline	required	true	mm
gcp.automation	etag	output	true	mm
gcp.automation	name	immutable	true	mm
gcp.automation	name	output	true	discovery
gcp.automation	name	required	false	!mm+discovery
gcp.automation	rules	required	true	mm
gcp.automation	rules[].advanceRolloutRule.condition	output	true	discovery
gcp.automation	rules[].advanceRolloutRule.condition.timedPromoteReleaseCondition.nextPromotionTime	output	true	discovery
gcp.automation	rules[].advanceRolloutRule.condition.timedPromoteReleaseCondition.targetsList	output	true	discovery
gcp.automation	rules[].advanceRolloutRule.id	required	true	mm
gcp.automation	rules[].promoteReleaseRule.condition	output	true	discovery
gcp.automation	rules[].promoteReleaseRule.condition.timedPromoteReleaseCondition.nextPromotionTime	output	true	discovery
gcp.automation	rules[].promoteReleaseRule.condition.timedPromoteReleaseCondition.targetsList	output	true	discovery
gcp.automation	rules[].promoteReleaseRule.id	required	true	mm
gcp.automation	rules[].repairRolloutRule.condition	output	true	discovery
gcp.automation	rules[].repairRolloutRule.condition.timedPromoteReleaseCondition.nextPromotionTime	output	true	discovery
gcp.automation	rules[].repairRolloutRule.condition.timedPromoteReleaseCondition.targetsList	output	true	discovery
gcp.automation	rules[].repairRolloutRule.id	required	true	mm
gcp.automation	rules[].repairRolloutRule.repairPhases[].retry.attempts	required	true	mm
gcp.automation	rules[].timedPromoteReleaseRule.condition	output	true	discovery
gcp.automation	rules[].timedPromoteReleaseRule.condition.timedPromoteReleaseCondition.nextPromotionTime	output	true	discovery
gcp.automation	rules[].timedPromoteReleaseRule.condition.timedPromoteReleaseCondition.targetsList	output	true	discovery
gcp.automation	rules[].timedPromoteReleaseRule.id	required	true	mm
gcp.automation	rules[].timedPromoteReleaseRule.schedule	required	true	mm
gcp.automation	rules[].timedPromoteReleaseRule.timeZone	required	true	mm
gcp.automation	selector	required	true	mm
gcp.automation	selector.targets	required	true	mm
gcp.automation	serviceAccount	required	true	mm
gcp.automation	uid	output	true	discovery+mm
gcp.automation	updateTime	output	true	discovery+mm
gcp.autoscaler		clear_before_delete	none	default
gcp.autoscaler		create_await	compute_operation	discovery
gcp.autoscaler		create_url	projects/{{project}}/zones/{{zone}}/autoscalers	mm
gcp.autoscaler		create_verb	POST	discovery
gcp.autoscaler		delete_await	compute_operation	discovery
gcp.autoscaler		delete_url	projects/{project}/zones/{zone}/autoscalers/{autoscaler}	discovery
gcp.autoscaler		lock_field	none	default
gcp.autoscaler		patch_one_field	false	default
gcp.autoscaler		setters	none	default
gcp.autoscaler		timeout	600	default
gcp.autoscaler		update_await	compute_operation	discovery
gcp.autoscaler		update_mask	none	discovery
gcp.autoscaler		update_verb	PATCH	discovery
gcp.autoscaler	autoscalingPolicy	required	true	mm
gcp.autoscaler	autoscalingPolicy.cpuUtilization.utilizationTarget	required	true	mm
gcp.autoscaler	autoscalingPolicy.customMetricUtilizations[].metric	required	true	mm
gcp.autoscaler	autoscalingPolicy.loadBalancingUtilization.utilizationTarget	required	true	mm
gcp.autoscaler	autoscalingPolicy.maxNumReplicas	required	true	mm
gcp.autoscaler	autoscalingPolicy.minNumReplicas	required	true	mm
gcp.autoscaler	autoscalingPolicy.scaleInControl.maxScaledInReplicas.calculated	output	true	discovery
gcp.autoscaler	creationTimestamp	output	true	discovery+mm
gcp.autoscaler	id	output	true	discovery
gcp.autoscaler	kind	output	true	discovery
gcp.autoscaler	name	immutable	true	mm
gcp.autoscaler	name	required	true	mm
gcp.autoscaler	recommendedSize	output	true	discovery
gcp.autoscaler	region	output	true	discovery
gcp.autoscaler	scalingScheduleStatus	output	true	discovery
gcp.autoscaler	selfLink	output	true	discovery
gcp.autoscaler	status	output	true	discovery
gcp.autoscaler	statusDetails	output	true	discovery
gcp.autoscaler	target	equivalence	self_link	mm
gcp.autoscaler	target	required	true	mm
gcp.autoscaler	zone	equivalence	self_link	mm
gcp.autoscaler	zone	immutable	true	mm
gcp.autoscaler	zone	output	true	discovery
gcp.backendauthenticationconfig		clear_before_delete	none	default
gcp.backendauthenticationconfig		create_await	longrunning	discovery
